ticker,company_name,country,ipo_year,market_cap,subsector
PIH,"1347 Property Insurance Holdings, Inc.",United States,2014.0,44570000.0,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",United States,,,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,United States,,74430000.0,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",United States,1999.0,943220000.0,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),United States,,188120000.0,Savings Institutions
SRCE,1st Source Corporation,United States,,1470000000.0,Major Banks
VNET,"21Vianet Group, Inc.",China,2011.0,1040000000.0,"Computer Software: Programming, Data Processing"
XXII,"22nd Century Group, Inc",United States,,314510000.0,Farming/Seeds/Milling
TWOU,"2U, Inc.",United States,2014.0,4219999999.9999995,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,United States,,2160000000.0,Computer Software: Prepackaged Software
MMM,3M Company,United States,,117630000000.0,Medical/Dental Instruments
TPNL,"3PEA International, Inc.",United States,,,Business Services
WBAI,500.com Limited,,2013.0,561700000.0,Services-Misc. Amusement & Recreation
JOBS,"51job, Inc.",China,2004.0,4330000000.0,Diversified Commercial Services
WUBA,58.com Inc.,,2013.0,9130000000.0,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,United States,,2089999999.9999998,Telecommunications Equipment
AVHI,"A V Homes, Inc.",United States,,477660000.0,Homebuilding
SHLM,"A. Schulman, Inc.",United States,1972.0,1290000000.0,Major Chemicals
AHC,A.H. Belo Corporation,United States,,97160000.0,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",,2014.0,471910000.0,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",United States,2014.0,240140000.0,Medical Specialities
AAON,"AAON, Inc.",United States,,2080000000.0,Industrial Machinery/Components
AIR,AAR Corp.,United States,,1610000000.0,Aerospace
AAN,"Aaron's,  Inc.",United States,,3490000000.0,Diversified Commercial Services
ABB,ABB Ltd,Switzerland,,47990000000.0,Electrical Products
ABT,Abbott Laboratories,United States,,111560000000.0,Major Pharmaceuticals
ABBV,AbbVie Inc.,United States,2012.0,152210000000.0,Major Pharmaceuticals
ABEO,Abeona Therapeutics Inc.,United States,,614970000.0,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,United States,,,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,United States,,1980000000.0,Clothing/Shoe/Accessory Stores
FAX,Aberdeen Asia-Pacific Income Fund Inc,United States,1986.0,1060000000.0,
IAF,Aberdeen Australia Equity Fund Inc,United States,,140090000.0,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",United States,,413810000.0,
AGD,Aberdeen Global Dynamic Dividend Fund,United States,2006.0,130770000.00000001,
FCO,"Aberdeen Global Income Fund, Inc.",United States,1992.0,70150000.0,
AWP,Aberdeen Global Premier Properties Fund,United States,2007.0,534650000.0,
ACP,Aberdeen Income Credit Strategies Fund,United States,2011.0,185000000.0,
JEQ,"Aberdeen Japan Equity Fund, Inc.",United States,1992.0,110860000.0,
AOD,Aberdeen Total Dynamic Dividend Fund,United States,2007.0,948970000.0,
ABIL,Ability Inc.,Israel,2014.0,11720000.0,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",United States,,16660000000.0,Medical/Dental Instruments
ABM,ABM Industries Incorporated,United States,,2049999999.9999998,Diversified Commercial Services
AXAS,Abraxas Petroleum Corporation,United States,,359800000.0,Oil & Gas Production
ACIU,AC Immune SA,Switzerland,2016.0,517750000.0,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",United States,2016.0,1570000000.0,Semiconductors
ACTG,Acacia Research Corporation,United States,,197300000.0,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",United States,,3430000000.0,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,United States,2004.0,1790000000.0,Major Pharmaceuticals
AKR,Acadia Realty Trust,United States,,2210000000.0,Real Estate Investment Trusts
ACST,"Acasti Pharma, Inc.",Canada,,16620000.000000002,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",United States,,1240000000.0,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,United States,2013.0,2180000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
ACN,Accenture plc,Ireland,2001.0,103420000000.0,Business Services
ANCX,Access National Corporation,United States,,574470000.0,Savings Institutions
ACCO,Acco Brands Corporation,United States,,1310000000.0,Publishing
ARAY,Accuray Incorporated,United States,2007.0,310440000.0,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",United States,2011.0,156530000.0,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,United States,,208200000.0,Major Pharmaceuticals
ACET,Aceto Corporation,United States,,99140000.0,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",United States,2014.0,253100000.0,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc.",United States,,8430000.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",United States,2006.0,365220000.0,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",United States,,3170000000.0,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",United States,2015.0,502840000.0,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",United States,2017.0,211620000.0,Industrial Machinery/Components
ACU,Acme United Corporation.,United States,1988.0,65959999.99999999,Industrial Machinery/Components
ACNB,ACNB Corporation,United States,,243540000.0,Major Banks
ACOR,"Acorda Therapeutics, Inc.",United States,2006.0,1340000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
ATV,"Acorn International, Inc.",China,2007.0,48190000.0,Other Specialty Stores
ATNM,"Actinium Pharmaceuticals, Inc.",United States,,68400000.0,Major Pharmaceuticals
ATVI,"Activision Blizzard, Inc",United States,,54270000000.0,Computer Software: Prepackaged Software
ATU,Actuant Corporation,United States,,1750000000.0,Industrial Machinery/Components
AYI,Acuity Brands Inc,United States,,5520000000.0,Building Products
GOLF,Acushnet Holdings Corp.,United States,2016.0,2069999999.9999998,Recreational Products/Toys
ACXM,Acxiom Corporation,United States,,3410000000.0,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",United States,2014.0,631660000.0,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,United States,,111850000.0,Major Pharmaceuticals
ADX,"Adams Diversified Equity Fund, Inc.",United States,,1630000000.0,
PEO,"Adams Natural Resources Fund, Inc.",United States,,574110000.0,
AE,"Adams Resources & Energy, Inc.",United States,,193380000.0,Oil Refining/Marketing
ADAP,Adaptimmune Therapeutics plc,United Kingdom,2015.0,793630000.0,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,United States,2009.0,729600000.0,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",United States,,14330000.0,Office Equipment/Supplies/Services
AGRO,Adecoagro S.A.,Luxembourg,2011.0,969540000.0,Farming/Seeds/Milling
IOTS,Adesto Technologies Corporation,United States,2015.0,119070000.0,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",United States,2018.0,21080000.0,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",United States,2018.0,,Major Pharmaceuticals
ADNT,Adient plc,,2016.0,3980000000.0,Auto Parts:O.E.M.
ADMA,ADMA Biologics Inc,United States,,277630000.0,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,United States,1986.0,125380000000.0,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",United States,2017.0,49500000.0,Auto Parts:O.E.M.
ADT,ADT Inc.,United States,2018.0,6820000000.0,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,United States,,3360000000.0,Other Consumer Services
ADTN,"ADTRAN, Inc.",United States,1994.0,776210000.0,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",United States,2015.0,425140000.0,Major Pharmaceuticals
AAP,Advance Auto Parts Inc,United States,,11560000000.0,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",United States,2016.0,2190000000.0,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",United States,2014.0,1780000000.0,Containers/Packaging
ADES,"Advanced Emissions Solutions, Inc.",United States,,231720000.0,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",United States,1995.0,2360000000.0,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",United States,,19410000000.0,Semiconductors
ASIX,AdvanSix Inc.,United States,2016.0,1040000000.0,Major Chemicals
AAV,Advantage Oil & Gas Ltd,Canada,,586530000.0,Oil & Gas Production
ADXS,"Advaxis, Inc.",United States,,79460000.0,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",United States,,,Major Pharmaceuticals
AVK,Advent Claymore Convertible Securities and Income Fund,United States,2003.0,313480000.0,
AGC,Advent Claymore Convertible Securities and Income Fund II,United States,2007.0,153260000.0,
LCM,Advent/Claymore Enhanced Growth & Income Fund,,2005.0,71160000.0,
ADVM,"Adverum Biotechnologies, Inc.",United States,2014.0,326930000.0,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,United States,,3070000.0,
DWSH,AdvisorShares Dorsey Wright Short ETF,United States,,625250.0,
ACT,AdvisorShares Vice ETF,United States,,12910000.0,
ACM,AECOM,United States,2007.0,5280000000.0,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,Greece,2006.0,78840000.0,Oil Refining/Marketing
AEGN,Aegion Corp,United States,,806430000.0,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",United States,2016.0,200230000.0,Major Pharmaceuticals
AEB,Aegon NV,Netherlands,,,Life Insurance
AED,Aegon NV,Netherlands,,,Life Insurance
AEG,Aegon NV,Netherlands,,12510000000.0,Life Insurance
AEH,Aegon NV,Netherlands,,,Life Insurance
AEHR,Aehr Test Systems,United States,1997.0,51590000.0,Electrical Products
AMTX,"Aemetis, Inc",United States,,25480000.0,Major Chemicals
AER,Aercap Holdings N.V.,Netherlands,2006.0,8340000000.0,Diversified Commercial Services
AERI,"Aerie Pharmaceuticals, Inc.",United States,2013.0,2970000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
ACY,AeroCentury Corp.,United States,,22450000.0,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",,2014.0,231630000.0,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc.",United States,,2820000000.0,Military/Government/Technical
AVAV,"AeroVironment, Inc.",United States,2007.0,1970000000.0,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",United States,,100170000.0,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,Canada,,30580000.0,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",United States,,20600000.0,Biotechnology: Laboratory Analytical Instruments
AET,Aetna Inc.,United States,,64420000000.0,Medical Specialities
GNMX,"Aevi Genomic Medicine, Inc.",United States,,56960000.0,Biotechnology: Biological Products (No Diagnostic Substances)
AMG,"Affiliated Managers Group, Inc.",United States,,7960000000.0,Investment Managers
AFMD,Affimed N.V.,Germany,2014.0,90470000.0,Major Pharmaceuticals
AFL,Aflac Incorporated,United States,,35780000000.0,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",United States,2011.0,533280000.0,
MITT^A,"AG Mortgage Investment Trust, Inc.",United States,,,
MITT^B,"AG Mortgage Investment Trust, Inc.",United States,,,
AGCO,AGCO Corporation,United States,,4660000000.0,Industrial Machinery/Components
UAVS,"AgEagle Aerial Systems, Inc.",United States,,17830000.0,Aerospace
AGEN,Agenus Inc.,United States,2000.0,186160000.0,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",United States,2014.0,9120000.0,Major Pharmaceuticals
A,"Agilent Technologies, Inc.",United States,1999.0,21360000000.0,Biotechnology: Laboratory Analytical Instruments
AGYS,"Agilysys, Inc.",United States,,376060000.0,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",United States,2013.0,4490000000.0,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,Hong Kong,2018.0,340520000.0,EDP Services
AGNC,AGNC Investment Corp.,United States,2008.0,8220000000.000001,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,United States,,8960000000.0,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,United States,,,Real Estate Investment Trusts
AEM,Agnico Eagle Mines Limited,Canada,,8950000000.0,Precious Metals
ADC,Agree Realty Corporation,United States,,1690000000.0,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",United States,2014.0,308130000.0,Business Services
AGFSW,"AgroFresh Solutions, Inc.",United States,2014.0,,Business Services
ALRN,"Aileron Therapeutics, Inc.",United States,2017.0,33009999.999999996,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",United States,2015.0,1640000000.0,Major Pharmaceuticals
AIRI,Air Industries Group,United States,,39630000.0,Military/Government/Technical
AL,Air Lease Corporation,United States,2011.0,4700000000.0,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",United States,,36030000000.0,Major Chemicals
AIRT,"Air T, Inc.",United States,,62880000.0,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",United States,,1190000000.0,Air Freight/Delivery Services
AYR,Aircastle Limited,United States,2006.0,1620000000.0,Diversified Commercial Services
AIRG,"Airgain, Inc.",United States,2016.0,110620000.0,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,China,2007.0,26880000.0,Advertising
AKS,AK Steel Holding Corporation,United States,,1320000000.0,Steel/Iron Ore
AKAM,"Akamai Technologies, Inc.",United States,1999.0,12270000000.0,Business Services
AKTX,Akari Therapeutics Plc,United States,,28680000.0,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",United States,2017.0,3200000000.0,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",United States,2014.0,445640000.0,Major Pharmaceuticals
AKER,Akers Biosciences Inc,United States,2014.0,28450000.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",United States,,2380000000.0,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",United States,,162960000.0,Telecommunications Equipment
ALP^Q,Alabama Power Company,United States,,,
ALG,"Alamo Group, Inc.",United States,,1130000000.0,Industrial Machinery/Components
AGI,Alamos Gold Inc.,Canada,2015.0,1800000000.0,Precious Metals
ALRM,"Alarm.com Holdings, Inc.",United States,2015.0,2390000000.0,Computer Software: Prepackaged Software
ALK,"Alaska Air Group, Inc.",United States,,7730000000.0,Air Freight/Delivery Services
ALSK,"Alaska Communications Systems Group, Inc.",United States,1999.0,91880000.0,Telecommunications Equipment
AIN,Albany International Corporation,United States,,2470000000.0,Textiles
ALB,Albemarle Corporation,United States,,10780000000.0,Major Chemicals
ALBO,"Albireo Pharma, Inc.",United States,,378440000.0,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,United States,,85130000.0,
AA,Alcoa Corporation,,2016.0,8230000000.0,Aluminum
ALDR,"Alder BioPharmaceuticals, Inc.",United States,2014.0,1290000000.0,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",United States,2014.0,151830000.0,Major Pharmaceuticals
ALEX,"Alexander & Baldwin, Inc.",United States,,1690000000.0,Real Estate Investment Trusts
ALX,"Alexander's, Inc.",United States,,1840000000.0,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",United States,,12820000000.0,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",United States,,,
AXU,Alexco Resource Corp,Canada,,117710000.0,Precious Metals
ALXN,"Alexion Pharmaceuticals, Inc.",United States,1996.0,26670000000.0,Major Pharmaceuticals
AQN,Algonquin Power & Utilities Corp.,,2016.0,4820000000.0,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,China,2014.0,442680000000.0,Business Services
ALCO,"Alico, Inc.",United States,,267380000.0,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",United States,2001.0,29550000000.0,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",United States,2010.0,67240000.0,Major Pharmaceuticals
ALO,Alio Gold Inc.,Canada,2011.0,76060000.0,Precious Metals
ALJJ,"ALJ Regional Holdings, Inc.",United States,,75840000.0,Business Services
ALKS,Alkermes plc,Ireland,1991.0,6900000000.0,Major Pharmaceuticals
ALLK,Allakos Inc.,United States,2018.0,1620000000.0,Major Pharmaceuticals
Y,Alleghany Corporation,United States,,9590000000.0,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,United States,,3320000000.0,Steel/Iron Ore
ABTX,"Allegiance Bancshares, Inc.",United States,2015.0,605000000.0,Major Banks
ALGT,Allegiant Travel Company,United States,2006.0,2180000000.0,Air Freight/Delivery Services
ALLE,Allegion plc,United States,2013.0,7910000000.0,Diversified Commercial Services
ALGR,Allegro Merger Corp.,United States,2018.0,,Business Services
ALGRR,Allegro Merger Corp.,United States,2018.0,,Business Services
ALGRU,Allegro Merger Corp.,United States,2018.0,,Business Services
ALGRW,Allegro Merger Corp.,United States,2018.0,,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",United States,2017.0,228070000.0,Biotechnology: Biological Products (No Diagnostic Substances)
AGN,Allergan plc.,United States,2013.0,62540000000.0,Major Pharmaceuticals
ALE,"Allete, Inc.",United States,,4000000000.0,Power Generation
AKP,Alliance California Municipal Income Fund Inc,United States,2002.0,113430000.0,
ADS,Alliance Data Systems Corporation,United States,2001.0,12820000000.0,Business Services
AMMA,"Alliance MMA, Inc.",United States,2016.0,2530000.0,Services-Misc. Amusement & Recreation
AFB,Alliance National Municipal Income Fund Inc,United States,2002.0,360840000.0,
AOI,"Alliance One International, Inc.",United States,,157680000.0,Farming/Seeds/Milling
ARLP,"Alliance Resource Partners, L.P.",United States,1999.0,4490000000.0,Coal Mining
AWF,Alliance World Dollar Government Fund II,United States,1993.0,1000000000.0,
AB,AllianceBernstein Holding L.P.,United States,,2920000000.0,Investment Managers
LNT,Alliant Energy Corporation,United States,,9890000000.0,Power Generation
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,United States,2017.0,170700000.0,
NCV,AllianzGI Convertible & Income Fund,United States,2003.0,632770000.0,
NCZ,AllianzGI Convertible & Income Fund II,United States,2003.0,460030000.0,
ACV,AllianzGI Diversified Income & Convertible Fund,United States,2015.0,252100000.0,
NIE,AllianzGI Equity & Convertible Income Fund,United States,2007.0,643130000.0,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",United States,2005.0,1230000000.0,Finance: Consumer Services
AHPI,"Allied Healthcare Products, Inc.",United States,1992.0,10560000.0,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",United States,,470100000.0,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",United States,,10860000.0,Medical/Dental Instruments
ALSN,"Allison Transmission Holdings, Inc.",United States,2012.0,6350000000.0,Auto Parts:O.E.M.
ALLT,Allot Communications Ltd.,Israel,2006.0,209920000.0,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",United States,,2480000000.0,EDP Services
ALL,Allstate Corporation (The),United States,,34580000000.0,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),United States,,,
ALL^B,Allstate Corporation (The),United States,,,
ALL^C,Allstate Corporation (The),United States,,,
ALL^D,Allstate Corporation (The),United States,,,
ALL^E,Allstate Corporation (The),United States,,,
ALL^F,Allstate Corporation (The),United States,,,
ALL^G,Allstate Corporation (The),United States,,,
ALLY,Ally Financial Inc.,United States,2014.0,11600000000.0,Major Banks
ALLY^A,Ally Financial Inc.,United States,,,
AAU,"Almaden Minerals, Ltd.",Canada,2015.0,68100000.0,Precious Metals
ALNY,"Alnylam Pharmaceuticals, Inc.",United States,2004.0,9370000000.0,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Bermuda,2010.0,347450000.0,Semiconductors
APT,"Alpha Pro Tech, Ltd.",Canada,,48960000.0,Industrial Specialties
GOOG,Alphabet Inc.,United States,2004.0,864100000000.0,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,United States,,875260000000.0,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,United States,,28620000.0,
ATEC,"Alphatec Holdings, Inc.",United States,2006.0,137740000.0,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",United States,2015.0,94870000.0,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,United States,,11110000.0,
AMR,"Alta Mesa Resources, Inc.",United States,2017.0,1830000000.0,Oil & Gas Production
AMRWW,"Alta Mesa Resources, Inc.",United States,2017.0,,Oil & Gas Production
AABA,Altaba Inc.,United States,,55190000000.0,EDP Services
ALTR,Altair Engineering Inc.,United States,2017.0,2640000000.0,Computer Software: Prepackaged Software
AYX,"Alteryx, Inc.",United States,2017.0,3340000000.0,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",United States,2017.0,13080000000.0,Television Services
ALT,"Altimmune, Inc.",United States,,13780000.0,Major Pharmaceuticals
AAMC,Altisource Asset Management Corp,United States,,104200000.0,Real Estate
ASPS,Altisource Portfolio Solutions S.A.,Luxembourg,,581110000.0,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,United States,2006.0,1180000000.0,Industrial Machinery/Components
MO,Altria Group,United States,,111620000000.0,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,China,2001.0,6120000000.0,Aluminum
AMAG,"AMAG Pharmaceuticals, Inc.",United States,,854730000.0,Major Pharmaceuticals
AMAL,Amalgamated Bank,United States,2018.0,,Textiles
AMRN,Amarin Corporation plc,Ireland,,869010000.0,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",United States,,93380000.0,Other Specialty Stores
AMZN,"Amazon.com, Inc.",United States,1997.0,934870000000.0,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",United States,,992320000.0,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",United States,,,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",United States,2012.0,1270000000.0,Semiconductors
AMBR,"Amber Road, Inc.",,2014.0,241060000.0,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,,2013.0,78750000000.0,Beverages (Production/Distribution)
AMBO,Ambow Education Holding Ltd.,China,,122480000.0,Other Consumer Services
AMC,"AMC Entertainment Holdings, Inc.",,2013.0,2240000000.0,Movies/Entertainment
AMCX,AMC Networks Inc.,United States,,3500000000.0,Television Services
DIT,AMCON Distributing Company,United States,,51280000.0,Food Distributors
DOX,Amdocs Limited,Guernsey,,9240000000.0,EDP Services
AMDA,Amedica Corporation,United States,2014.0,3030000.0,Medical/Dental Instruments
AMED,Amedisys Inc,United States,,3690000000.0,Medical/Nursing Services
UHAL,Amerco,United States,,7430000000.0,Rental/Leasing Companies
AEE,Ameren Corporation,United States,,15370000000.0,Power Generation
AMRC,"Ameresco, Inc.",United States,2010.0,701600000.0,Engineering & Construction
AMRH,"Ameri Holdings, Inc.",United States,,30070000.0,Semiconductors
AMRHW,"Ameri Holdings, Inc.",United States,,,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",United States,,373300000.0,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Mexico,,55390000000.0,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",Mexico,,55390000000.0,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",United States,,17079999999.999998,Air Freight/Delivery Services
AAT,"American Assets Trust, Inc.",United States,2011.0,1820000000.0,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",United States,,1860000000.0,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,United States,2004.0,5640000000.0,Real Estate Investment Trusts
ACSF,"American Capital Senior Floating, Ltd.",United States,2014.0,122500000.0,
AEO,"American Eagle Outfitters, Inc.",United States,,4950000000.0,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",United States,,35010000000.0,Electric Utilities: Central
AETI,"American Electric Technologies, Inc.",United States,,8580000.0,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,United States,2003.0,3280000000.0,Life Insurance
AXP,American Express Company,United States,,87980000000.0,Finance: Consumer Services
AFIN,"American Finance Trust, Inc.",United States,,1730000000.0,Real Estate Investment Trusts
AFG,"American Financial Group, Inc.",United States,,9920000000.0,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",United States,2014.0,,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",United States,2015.0,,Property-Casualty Insurers
AMH,American Homes 4 Rent,,2013.0,6600000000.0,Real Estate Investment Trusts
AMH^D,American Homes 4 Rent,,,,
AMH^E,American Homes 4 Rent,,,,
AMH^F,American Homes 4 Rent,,,,
AMH^G,American Homes 4 Rent,,,,
AIG,"American International Group, Inc.",United States,,46980000000.0,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",United States,,,
ALN,American Lorain Corporation,China,,12020000.0,Packaged Foods
AMID,"American Midstream Partners, LP",United States,2011.0,306580000.0,Natural Gas Distribution
AMNB,"American National Bankshares, Inc.",United States,,359650000.0,Major Banks
ANAT,American National Insurance Company,United States,,3510000000.0,Life Insurance
AOBC,American Outdoor Brands Corporation,United States,,533350000.0,Ordnance And Accessories
APEI,"American Public Education, Inc.",United States,2007.0,573150000.0,Other Consumer Services
ARII,"American Railcar Industries, Inc.",United States,2006.0,887780000.0,Railroads
ARL,"American Realty Investors, Inc.",United States,,283470000.0,Real Estate
ARA,"American Renal Associates Holdings, Inc",United States,2016.0,666590000.0,Hospital/Nursing Management
AMRB,American River Bankshares,United States,,91490000.0,Major Banks
AMS,American Shared Hospital Services,United States,,17700000.0,Medical Specialities
AMSWA,"American Software, Inc.",United States,,508720000.0,Computer Software: Prepackaged Software
AWR,American States Water Company,United States,,2190000000.0,Water Supply
AMSC,American Superconductor Corporation,United States,1991.0,130060000.0,Metal Fabrications
AMT,American Tower Corporation (REIT),United States,,65860000000.0,Real Estate Investment Trusts
AVD,American Vanguard Corporation,United States,,591340000.0,Agricultural Chemicals
AWK,American Water Works,United States,2008.0,15600000000.0,Water Supply
AMWD,American Woodmark Corporation,United States,1986.0,1460000000.0,Forest Products
CRMT,"America's Car-Mart, Inc.",United States,,461750000.0,Automotive Aftermarket
USAS,Americas Silver Corporation,,2017.0,98100000.0,Precious Metals
COLD,Americold Realty Trust,United States,2018.0,3300000000.0,Real Estate Investment Trusts
APU,"AmeriGas Partners, L.P.",United States,,3730000000.0,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",United States,,20840000000.0,Investment Managers
ABCB,Ameris Bancorp,United States,1994.0,2340000000.0,Major Banks
AMSF,"AMERISAFE, Inc.",United States,2005.0,1220000000.0,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,United States,,81200000.0,Major Banks
ASRVP,AmeriServ Financial Inc.,United States,,,Major Banks
ABC,AmerisourceBergen Corporation (Holding Co),United States,,18560000000.0,Other Pharmaceuticals
ATLO,Ames National Corporation,United States,,280260000.0,Major Banks
AMGN,Amgen Inc.,United States,1983.0,127050000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",United States,2007.0,2620000000.0,Major Pharmaceuticals
ANFI,Amira Nature Foods Ltd,United Arab Emirates,2012.0,63070000.0,Packaged Foods
AMKR,"Amkor Technology, Inc.",United States,1998.0,2210000000.0,Semiconductors
AMN,AMN Healthcare Services Inc,United States,,2710000000.0,Professional Services
AMRX,"Amneal Pharmaceuticals, Inc.",,2018.0,2540000000.0,
AP,Ampco-Pittsburgh Corporation,United States,,91480000.0,Fluid Controls
